# v 5
# #
# # This is a LAGO raw data file, version 5
# # It contains the following data:
# #   <N1> <N2>        : line with values of the 2 ADC for a triggered pulse
# #   # t <C> <V>      : end of a trigger
# #                      gives the channel trigger (<C>: 3 bit mask) and 125 MHz clock count (<V>) of the trigger time
# #   # c <C>          : internal trigger counter
# #   # x f <V>        : 125 MHz frequency
# #   # x t <V>        : temperature value
# #   # x p <V>        : pressure value
# #   # x r1 <V>       : pulse rate at channel 1
# #   # x r2 <V>       : pulse rate at channel 2
# #   # x h <HH:MM:SS> <DD/MM/YYYY> <S> : GPS time (every new second, last number is seconds since EPOCH)
# #   # x s <T> C <P> hPa <A> m : temperature <T>, pressure <P> and altitude (from pressure) <A>
# #   # x g <LAT> <LON> <ALT>   : GPS data - latitude, longitude, altitude
# #   # x v <HV1> <HV2>         : HV voltages for channels 1 and 2
# #   # x b <B1> <B2> <B3>      : baselines (NOT IMPLEMENTED IN LAGO)
# # In case of error, an unfinished line will be finished by # E @@@
# # Followed by a line with # E <N> and the error message in human readable format, where <N> is the error code:
# #   # E 1 : read timeout of 2 seconds
# #   # E 2 : too many buffer reading tries
# #   # E 3 : unknown word from FPGA
# #
# # Current registers setting
# #
# x c T1 600
# x c T2 8190
# x c HV1 1499.6 mV
# x c HV2 7.7 mV
# x c SC1 1
# x c SC2 1
# # This file was started on red-pitaya
# # WARNING, there is no GPS, using PC time
# #
# x h  
# x v 12.1 12.1
# p 4181140 -254.3 -240.6
# x p 767.95
# x t 23.5
# x f 124999999
# E @@@
# E 3 - unknown word from FPGA: 31 1f
# r2 0
# r1 200
# x g 0.000000 0.000000 0.00
# x h   01:08:15 01/07/2025 1 0
# x v 12.1 12.1
# p 4181143 -254.3 -240.6
# x p 767.86
# x t 23.5
# x f 124999999
# E @@@
# E 3 - unknown word from FPGA: 31 1f
3 8
2 3
3 4
0 4
5 8
2 1
8 1
2 0
853 983
456 491
214 220
114 114
68 67
44 44
31 30
22 22
17 17
13 13
11 10
9 8
7 7
6 6
5 5
4 4
4 4
3 3
3 3
2 2
0 7
5 8
4 8
5 8
# t 1 992
# c 1
1 6
0 8
2 5
2 9
8 1
8 6
2 4
3 4
979 948
588 617
304 345
171 202
105 128
70 86
49 61
36 45
27 35
21 27
17 22
14 18
12 15
10 13
8 11
7 9
6 8
5 7
5 6
4 5
6 3
6 2
7 5
9 9
# t 1 3629
# c 2
4 7
5 5
5 0
1 6
8 2
8 0
4 9
1 5
871 981
355 246
140 78
68 35
39 20
25 12
17 8
12 6
9 4
7 3
6 3
5 2
4 2
3 1
3 1
2 1
2 1
2 1
9 7
7 0
9 9
5 8
6 3
4 7
# t 1 1016
# c 3
4 9
3 4
2 9
2 7
1 8
1 2
4 2
2 1
840 867
342 292
135 104
66 49
38 28
24 17
16 12
12 8
9 6
7 5
5 4
4 3
4 2
3 2
2 2
2 1
2 1
1 1
3 4
3 3
3 7
5 5
0 0
0 2
# t 1 1345
# c 4
7 3
4 4
3 9
6 8
0 0
1 6
2 2
4 5
869 877
311 232
114 75
54 34
31 19
19 12
13 8
9 6
7 4
5 3
4 2
3 2
3 2
2 1
2 1
2 1
1 1
1 0
4 4
3 9
6 3
9 1
0 0
3 4
# t 1 3792
# c 5
8 6
0 4
9 7
4 8
3 5
3 5
1 3
1 9
806 839
521 481
289 240
169 131
106 80
72 52
51 37
37 27
29 20
23 16
18 13
15 10
12 9
10 7
9 6
8 5
7 4
6 4
5 3
4 3
0 4
6 6
0 7
0 3
# t 1 974
# c 6
5 0
0 5
1 8
6 3
2 0
3 8
7 8
0 0
828 909
280 307
100 110
47 52
27 29
17 18
11 12
8 9
6 7
5 5
4 4
3 3
2 3
2 2
2 2
1 1
1 1
1 1
4 3
4 0
4 4
4 8
9 2
6 1
# t 1 10490
# c 7
0 2
0 5
7 6
6 3
6 9
0 5
5 3
5 8
892 983
221 390
70 151
32 74
17 42
11 27
7 18
5 13
4 10
3 8
2 6
2 5
1 4
1 3
1 3
1 2
1 2
0 2
6 0
5 8
9 7
0 8
7 6
6 3
# t 1 1835
# c 8
5 3
4 1
7 2
5 9
5 0
8 7
8 2
8 2
888 843
215 183
67 56
30 25
17 14
10 8
7 6
5 4
4 3
3 2
2 2
2 1
1 1
1 1
1 1
1 0
0 0
0 0
4 0
6 1
0 2
6 2
4 5
9 9
# t 1 2195
# c 9
6 1
4 8
4 1
0 4
3 2
2 7
1 8
7 2
835 949
231 338
76 124
35 59
19 33
12 21
8 14
6 10
4 8
3 6
2 5
2 4
2 3
1 2
1 2
1 2
1 1
0 1
4 8
7 8
5 3
9 3
